champlain, flathead, goose, great_salt_lake, lower_red, manitoba, marion, mcconaugh, mead, mille_lacs_lake, mono, moultrie, nipigon, okeechobee, oneida, pontchartrain, sakakawea, salton_sea, sebago, tahoe, upper_klamath, winnebago, winnipesaukee
20190223, 1, 1, 1, 0.8, 1, 1, 0, 1, 0, 1, 0.35, 0, 1, 0, 1, 0, 1, 0, 1, 0.23, 0.41, 1, 1
20190224, 1, 1, 1, 0.82, 1, 1, 0, 1, 0, 1, 0.32, 0, 1, 0, 1, 0, 1, 0, 1, 0.26, 0.4, 1, 1
20190225, 1, 1, 1, 0.8, 1, 1, 0, 1, 0, 1, 0.27, 0, 1, 0, 0.99, 0, 1, 0, 1, 0.09, 0.37, 1, 1
20190226, 1, 1, 0.97, 0.72, 1, 1, 0, 1, 0, 1, 0.16, 0, 1, 0, 1, 0, 1, 0, 1, 0.04, 0.33, 1, 1
20190227, 1, 1, 0.89, 0.55, 1, 1, 0, 1, 0, 1, 0.03, 0, 1, 0, 1, 0, 1, 0, 1, 0.04, 0.32, 1, 1
20190228, 1, 1, 0.82, 0.43, 1, 1, 0, 1, 0, 1, 0, 0, 1, 0, 1, 0, 1, 0, 1, 0.02, 0.29, 1, 1
20190301, 1, 1, 0.77, 0.37, 1, 1, 0, 1, 0, 1, 0, 0, 1, 0, 1, 0, 1, 0, 1, 0.02, 0.35, 1, 1
20190302, 1, 1, 0.89, 0.3, 1, 1, 0, 1, 0, 1, 0, 0, 1, 0, 1, 0, 1, 0, 1, 0.02, 0.4, 1, 1
20190303, 1, 1, 0.95, 0.22, 1, 1, 0, 1, 0, 1, 0, 0, 1, 0, 1, 0, 1, 0, 1, 0.02, 0.42, 1, 1
20190304, 1, 1, 0.95, 0.18, 1, 1, 0, 1, 0, 1, 0, 0, 1, 0, 1, 0, 1, 0, 1, 0.02, 0.42, 1, 1
20190305, 1, 1, 0.95, 0.17, 1, 1, 0, 1, 0, 1, 0, 0, 1, 0, 1, 0, 1, 0, 1, 0.02, 0.45, 1, 1
20190306, 1, 1, 0.96, 0.15, 1, 1, 0, 1, 0, 1, 0, 0, 1, 0, 1, 0, 1, 0, 1, 0.02, 0.49, 1, 1
20190307, 1, 1, 0.89, 0.11, 1, 1, 0, 1, 0, 1, 0, 0, 1, 0, 1, 0, 1, 0, 1, 0.02, 0.44, 1, 1
20190308, 1, 1, 0.82, 0.08, 1, 1, 0, 1, 0, 1, 0, 0, 1, 0, 1, 0, 1, 0, 1, 0.02, 0.42, 1, 1
20190309, 1, 1, 0.91, 0.08, 1, 1, 0, 1, 0, 1, 0, 0, 1, 0, 1, 0, 1, 0, 1, 0.02, 0.45, 1, 1
20190310, 1, 1, 0.93, 0.07, 1, 1, 0, 1, 0, 1, 0, 0, 1, 0, 1, 0, 1, 0, 1, 0.02, 0.49, 1, 1
20190311, 1, 1, 0.95, 0.06, 1, 1, 0, 1, 0, 1, 0, 0, 1, 0, 1, 0, 1, 0, 1, 0.06, 0.48, 1, 1
